Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene08282	1	5	7	8	4	0	8	4	0
PH02Gene08283	0	0	9	4	0	3	4	10	0
PH02Gene08284	1	0	0	1	0	0	0	3	0
PH02Gene08285	195	130	120	79	160	42	97	122	42
PH02Gene08286	38	22	76	16	55	11	11	26	18
PH02Gene08287	2	0	4	4	1	0	8	2	1
PH02Gene08288	20	10	14	6	12	12	0	2	17
PH02Gene08289	0	0	2	0	0	6	0	0	0
PH02Gene08290	1	1	0	1	0	0	4	3	0
PH02Gene08291	1	0	9	3	0	2	4	0	0
PH02Gene08292	16	6	13	14	8	2	8	10	0
PH02Gene08293	0	0	10	10	1	2	9	5	8
PH02Gene08294	31	12	38	14	50	8	43	31	4
PH02Gene08295	1	0	2	12	2	6	0	25	0
PH02Gene08296	0	0	24	11	6	6	9	19	10
PH02Gene08297	0	0	4	6	3	0	0	0	0
PH02Gene08298	5	0	3	1	4	0	5	1	0
PH02Gene08299	0	0	0	0	0	0	8	0	8
PH02Gene08300	9	19	26	20	8	19	12	31	2
PH02Gene08301	2	0	8	0	14	4	0	2	0
PH02Gene08302	4	0	0	5	0	0	8	4	0
PH02Gene08303	6	1	4	11	0	2	11	9	6
PH02Gene08304	0	14	6	11	9	14	3	7	12
PH02Gene08305	19	1	65	6	21	10	36	24	0
PH02Gene08306	4	0	12	6	5	0	1	4	0
PH02Gene08307	1	9	13	4	0	17	0	0	6
PH02Gene08308	16	8	24	11	7	0	14	13	1
PH02Gene08309	0	0	4	10	2	6	11	5	0
PH02Gene08310	4	3	8	5	10	6	10	12	1
PH02Gene08311	6	10	13	0	4	1	4	2	0
PH02Gene08313	195	476	13	93	18	171	144	31	117
PH02Gene08314	0	0	6	25	3	6	2	14	2
PH02Gene08315	0	0	0	0	0	0	0	0	0
PH02Gene08316	7	8	8	0	0	4	7	4	4
PH02Gene08317	0	0	8	4	0	1	7	14	0
PH02Gene08318	162	165	45	66	30	82	115	52	86
PH02Gene08319	21	1	2	2	6	9	6	12	4
PH02Gene08320	7	0	6	6	9	0	12	4	1
PH02Gene08321	4	17	31	6	12	18	1	23	11
PH02Gene08322	66	43	114	32	72	93	36	49	28
PH02Gene08323	9	0	0	0	1	2	0	0	0
PH02Gene08324	6	0	6	15	0	0	10	18	4
PH02Gene08325	5	0	12	22	10	10	2	4	0
PH02Gene08326	28	29	12	17	33	12	14	25	14
PH02Gene08327	0	0	13	11	0	11	2	12	0
PH02Gene08328	0	0	3	2	0	2	3	1	0
PH02Gene08329	4	8	12	12	26	6	28	10	4
PH02Gene08330	0	0	0	0	4	0	0	0	0
PH02Gene08331	1	0	25	0	8	0	2	4	0
PH02Gene08332	0	0	0	0	0	0	0	0	0
PH02Gene08333	4	10	8	4	4	10	1	4	9
PH02Gene08334	2	8	5	26	4	0	14	13	0
PH02Gene08335	12	5	27	2	22	14	10	14	8
PH02Gene08336	3	0	6	5	8	9	4	4	0
PH02Gene08337	2	28	6	0	4	22	4	5	17
PH02Gene08338	4	9	22	16	8	2	17	5	0
PH02Gene08339	0	0	0	0	0	0	0	0	0
PH02Gene08340	2	0	15	4	1	2	2	4	6
PH02Gene08341	0	0	10	4	2	0	15	9	0
PH02Gene08342	0	0	4	0	0	0	0	0	0
PH02Gene08343	5	0	4	6	6	0	14	6	0
PH02Gene08344	4	0	0	7	6	0	0	6	0
PH02Gene08345	12	0	16	16	8	9	3	2	0
PH02Gene08346	10	0	14	21	16	14	13	18	4
PH02Gene08347	23	18	32	13	16	23	12	18	6
PH02Gene08348	9	11	21	33	12	14	13	23	6
PH02Gene08349	72	64	14	18	18	3	24	19	39
PH02Gene08350	59	18	16	43	17	2	59	17	5
PH02Gene08351	0	0	1	4	2	0	1	0	0
PH02Gene08352	117	329	152	67	94	179	100	133	173
PH02Gene08353	18	9	11	6	12	3	6	12	2
PH02Gene08354	2	0	3	4	2	2	15	12	6
PH02Gene08355	5	63	13	15	14	12	8	10	23
PH02Gene08356	133	301	43	48	13	107	61	20	200
PH02Gene08357	8	0	8	0	7	4	5	6	4
PH02Gene08358	25	43	14	10	19	60	21	10	81
PH02Gene08359	0	0	8	0	4	0	9	16	0
PH02Gene08360	8	4	22	4	15	0	9	11	2
PH02Gene08361	4	6	11	6	7	0	9	16	2
PH02Gene08362	2	0	0	10	5	2	0	2	0
PH02Gene08363	0	0	8	0	2	0	5	0	0
PH02Gene08364	3	8	10	2	16	4	7	7	0
PH02Gene08365	37	41	68	20	37	19	42	27	18
PH02Gene08366	2	0	0	4	0	4	0	8	6
PH02Gene08367	31	4	15	36	17	6	20	16	2
PH02Gene08368	0	1	7	3	5	7	0	9	12
PH02Gene08369	14	17	4	20	4	4	0	2	0
PH02Gene08370	2	0	14	10	6	0	6	10	0
PH02Gene08371	3	0	2	1	2	0	7	14	0
PH02Gene08372	15	9	22	10	8	2	8	17	6
PH02Gene08373	0	1	11	12	12	4	9	7	0
PH02Gene08374	68	34	39	24	40	12	60	18	31
PH02Gene08375	85	12	35	19	16	7	20	18	7
PH02Gene08376	5	6	16	13	10	6	11	29	5
PH02Gene08377	10	15	43	13	54	22	9	36	11
PH02Gene08378	0	0	0	0	0	0	3	2	0
PH02Gene08379	1	0	14	2	2	0	8	14	6
PH02Gene08380	4	5	3	7	1	2	31	7	5
PH02Gene08381	1	0	1	0	0	0	0	5	0
PH02Gene08382	0	0	5	4	0	0	9	9	0
PH02Gene08383	13	84	71	14	108	9	17	70	23
PH02Gene08384	3	0	1	8	7	0	0	1	0
PH02Gene08385	8	20	22	15	19	13	3	10	6
PH02Gene08386	1	0	2	0	6	0	7	4	4
PH02Gene08387	6	1	2	1	2	9	7	12	2
PH02Gene08388	3	2	12	0	12	0	6	0	0
PH02Gene08389	2	0	15	10	0	2	2	4	1
PH02Gene08390	1	0	2	11	6	0	6	3	0
PH02Gene08391	9	0	26	14	18	2	5	9	0
PH02Gene08392	34	63	16	10	6	19	15	11	19
PH02Gene08393	6	5	7	16	8	0	31	6	4
PH02Gene08394	18	0	7	20	16	3	14	8	0
PH02Gene08395	29	41	10	28	9	10	32	3	6
PH02Gene08396	98	45	21	94	17	16	83	8	24
PH02Gene08397	1	1	10	2	8	2	5	11	0
PH02Gene08398	15	1	17	20	14	0	11	6	0
PH02Gene08399	9	2	13	26	9	7	32	21	0
PH02Gene08400	6	2	26	10	11	15	17	20	10
PH02Gene08401	0	0	8	0	0	0	0	1	0
PH02Gene08402	7	1	11	2	7	0	6	4	0
PH02Gene08403	12	0	4	8	0	8	4	14	3
PH02Gene08404	4	2	13	6	2	12	5	21	0
PH02Gene08405	0	0	0	0	0	0	0	0	0
PH02Gene08406	6	0	0	4	0	0	2	6	0
PH02Gene08407	0	0	0	0	0	0	0	0	0
PH02Gene08408	4	4	3	3	8	3	0	2	0
PH02Gene08409	0	0	10	0	4	1	0	4	0
PH02Gene08410	3	0	0	2	1	4	4	0	0
PH02Gene08411	1	0	4	4	1	0	3	5	0
PH02Gene08412	14	6	27	19	4	20	23	11	0
PH02Gene08413	35	19	64	14	17	10	18	28	7
PH02Gene08414	31	9	21	17	17	9	13	12	6
PH02Gene08415	0	0	0	0	0	0	0	0	0
PH02Gene08416	2	0	28	10	8	2	13	14	4
PH02Gene08417	2	0	2	7	9	1	5	4	0
PH02Gene08418	0	0	1	2	5	1	3	9	0
PH02Gene08419	0	0	0	0	0	0	0	0	0
PH02Gene08420	0	0	6	1	1	4	0	0	0
PH02Gene08421	0	1	8	11	4	3	2	19	1
PH02Gene08422	0	0	0	8	0	0	8	3	0
PH02Gene08423	6	0	21	14	13	12	6	3	0
PH02Gene08424	0	0	1	5	1	0	5	6	0
PH02Gene08425	5	2	12	6	4	0	9	4	0
PH02Gene08426	32	39	66	31	26	49	18	27	24
PH02Gene08427	8	0	10	2	1	1	8	20	3
PH02Gene08428	0	1	0	0	0	0	1	0	0
PH02Gene08429	14	1	8	4	5	4	22	8	2
PH02Gene08430	16	42	10	8	41	31	15	15	16
PH02Gene08431	2	0	1	0	0	0	18	7	1
PH02Gene08432	20	16	36	36	44	7	38	34	7
PH02Gene08433	2	0	2	12	4	0	1	0	0
PH02Gene08434	4	1	6	12	11	2	1	10	6
PH02Gene08435	3	14	10	5	13	17	6	7	10
PH02Gene08436	20	33	20	9	8	6	15	14	19
PH02Gene08437	18	0	4	6	4	0	10	0	1
PH02Gene08438	0	0	1	9	5	3	9	0	1
PH02Gene08439	0	0	5	2	0	2	4	18	0
PH02Gene08440	0	0	18	0	2	4	5	7	0
PH02Gene08441	0	0	0	0	0	0	2	0	0
PH02Gene08442	0	0	9	9	1	3	0	5	0
PH02Gene08443	60	79	73	27	47	35	37	68	29
PH02Gene08444	2	0	0	0	0	0	0	0	0
PH02Gene08445	0	0	1	1	3	1	5	5	0
PH02Gene08446	0	0	20	11	15	1	7	6	0
PH02Gene08447	10	18	1	22	10	8	14	16	0
PH02Gene08448	35	60	104	23	78	69	28	99	37
PH02Gene08449	4	0	9	4	4	1	4	0	1
PH02Gene08450	8	0	6	11	0	0	3	5	0
PH02Gene08451	13	8	10	4	8	7	8	13	0
PH02Gene08452	0	1	5	8	5	4	1	6	0
PH02Gene08453	0	0	8	12	2	7	6	18	2
PH02Gene08454	0	0	8	0	1	0	1	1	0
PH02Gene08455	22	34	17	16	5	30	11	20	15
PH02Gene08456	2	6	4	3	4	22	11	12	4
PH02Gene08457	0	0	0	1	3	0	0	0	0
PH02Gene08458	24	2	16	21	13	8	20	9	6
PH02Gene08459	6	0	0	0	0	0	0	2	0
PH02Gene08460	0	0	0	0	0	0	0	0	0
PH02Gene08461	0	0	2	5	0	0	2	0	0
PH02Gene08462	0	0	0	2	0	0	1	0	0
PH02Gene08463	1	4	4	0	0	0	0	0	0
PH02Gene08464	13	0	3	1	3	0	4	4	2
PH02Gene08465	26	20	2	5	9	16	8	8	2
PH02Gene08466	0	0	4	5	13	0	9	14	4
PH02Gene08467	0	0	4	0	0	0	1	2	0
PH02Gene08468	16	3	4	8	24	4	12	9	8
PH02Gene08469	2	0	16	12	8	0	1	7	6
PH02Gene08470	4	0	9	3	5	0	1	2	0
PH02Gene08471	36	30	38	11	27	18	55	33	13
PH02Gene08472	0	0	4	2	0	0	6	4	6
PH02Gene08473	1	0	7	0	3	8	7	0	0
PH02Gene08474	8	22	23	8	27	33	6	10	18
PH02Gene08475	4	13	17	2	6	8	7	9	2
PH02Gene08476	125	179	78	47	50	66	105	60	85
PH02Gene08477	4	5	2	6	8	2	9	2	1
PH02Gene08478	20	20	6	7	2	8	19	6	16
PH02Gene08479	22	12	2	16	10	3	13	20	0
PH02Gene08480	0	0	6	2	0	5	1	2	6
PH02Gene08481	0	2	7	1	10	0	1	5	13
PH02Gene08482	0	6	1	2	2	0	0	6	0
PH02Gene08483	14	3	0	3	7	6	5	4	0
PH02Gene08484	4	1	6	1	4	6	4	0	0
PH02Gene08485	14	8	14	7	14	14	6	6	14
PH02Gene08486	13	6	1	2	12	0	17	6	0
PH02Gene08487	13	1	4	5	7	0	26	7	0
PH02Gene08488	7	2	4	4	7	0	3	2	0
PH02Gene08489	0	2	6	9	0	1	9	1	0
PH02Gene08490	8	2	24	17	26	4	34	20	1
PH02Gene08491	17	0	9	13	3	5	8	11	0
PH02Gene08492	19	8	26	16	24	4	9	30	3
PH02Gene08493	3	1	7	0	2	2	8	3	2
PH02Gene08494	39	4	34	17	46	4	40	16	10
PH02Gene08495	0	0	4	1	2	0	7	6	0
PH02Gene08496	0	0	3	0	0	0	0	0	0
PH02Gene08497	0	0	5	0	1	2	6	2	2
PH02Gene08498	4	5	0	6	0	6	22	4	2
PH02Gene08499	11	3	12	12	9	11	2	8	0
PH02Gene08500	0	0	7	1	1	0	0	4	1
PH02Gene08501	10	0	3	12	6	0	6	8	1
PH02Gene08502	1	0	4	5	1	0	0	3	0
PH02Gene08503	2	2	9	12	4	8	11	8	0
PH02Gene08504	2	2	3	12	2	0	6	7	0
PH02Gene08505	78	83	32	44	50	48	59	69	62
PH02Gene08506	50	14	22	17	48	18	32	34	15
PH02Gene08507	9	0	0	2	3	6	3	1	0
PH02Gene08508	0	0	12	8	15	4	12	6	0
PH02Gene08509	19	4	18	10	7	2	5	21	4
PH02Gene08510	109	135	77	52	31	64	84	66	48
PH02Gene08511	0	0	12	5	4	1	3	10	0
PH02Gene08512	1	3	5	3	4	4	8	10	0
PH02Gene08513	10	5	23	14	13	11	7	13	6
PH02Gene08514	55	21	6	36	34	14	53	22	12
PH02Gene08515	0	4	0	1	0	0	0	3	0
PH02Gene08516	2	2	11	8	4	0	2	10	0
PH02Gene08517	17	10	10	2	4	4	11	12	2
PH02Gene08518	10	0	3	9	8	5	12	13	4
PH02Gene08519	1	9	18	7	4	0	0	20	2
PH02Gene08520	1	1	15	1	12	4	3	8	0
PH02Gene08521	0	0	0	0	0	0	6	6	0
PH02Gene08522	2	0	0	0	3	0	0	0	0
PH02Gene08523	88	0	2	38	18	2	0	5	0
PH02Gene08524	8	3	17	5	2	2	7	10	0
PH02Gene08525	0	0	0	1	7	0	0	0	0
PH02Gene08526	0	0	0	2	0	0	0	0	0
PH02Gene08527	0	0	0	0	0	0	0	0	0
PH02Gene08528	3	0	2	9	0	2	5	1	0
PH02Gene08529	2	0	13	18	2	2	2	8	2
PH02Gene08530	12	6	8	9	6	14	12	15	10
PH02Gene08531	4	0	0	1	0	0	2	0	0
PH02Gene08532	0	1	2	5	4	2	10	2	0
PH02Gene08533	0	0	0	0	0	1	1	0	0
PH02Gene08534	3	7	9	21	8	7	2	9	8
PH02Gene08535	0	0	14	5	17	6	7	13	0
PH02Gene08536	0	0	0	0	2	0	0	0	0
PH02Gene08537	0	1	5	3	1	2	1	9	1
PH02Gene08538	16	50	20	6	11	25	41	17	39
PH02Gene08539	1	4	4	2	0	1	2	0	0
PH02Gene08540	4	0	1	0	2	1	4	7	1
PH02Gene08541	0	0	0	0	0	0	0	0	0
PH02Gene08542	7	0	9	9	1	0	7	1	1
PH02Gene08543	2	0	3	7	3	1	5	13	3
PH02Gene08544	18	6	52	12	14	25	27	24	15
PH02Gene08545	15	0	0	4	9	3	7	0	0
PH02Gene08546	8	1	6	5	3	0	0	0	2
PH02Gene08547	4	0	7	12	6	0	6	2	0
PH02Gene08548	6	0	4	2	0	0	6	0	0
PH02Gene08549	5	0	16	14	1	1	8	6	0
PH02Gene08550	1	0	7	2	4	2	12	6	0
PH02Gene08551	1	0	4	4	0	0	17	2	0
PH02Gene08552	17	4	31	45	38	7	25	45	3
PH02Gene08553	6	1	20	9	16	0	9	11	0
PH02Gene08554	0	0	0	0	0	0	1	1	0
PH02Gene08555	3	6	8	4	10	0	6	4	4
PH02Gene08556	0	4	4	10	7	0	4	0	1
PH02Gene08557	0	0	9	5	6	4	9	6	0
PH02Gene08558	4	0	3	3	11	10	20	4	10
PH02Gene08559	2	0	4	0	6	0	1	12	2
PH02Gene08560	0	0	24	2	2	0	4	3	0
PH02Gene08561	7	2	0	1	16	2	3	2	0
PH02Gene08562	2	8	0	2	0	0	2	0	4
PH02Gene08563	8	0	35	10	12	13	20	21	0
PH02Gene08564	9	0	12	15	6	14	13	8	1
PH02Gene08565	4	0	14	20	14	0	3	8	0
PH02Gene08566	14	2	4	8	7	4	22	0	1
PH02Gene08567	5	0	4	18	9	2	17	6	1
PH02Gene08568	0	0	9	4	9	2	6	3	0
PH02Gene08569	2	1	13	7	17	0	6	10	0
PH02Gene08570	0	0	0	0	0	0	0	0	0
PH02Gene08571	9	4	11	17	6	1	12	8	1
PH02Gene08572	4	0	16	6	10	0	6	3	4
PH02Gene08573	1	0	9	6	10	0	6	6	0
PH02Gene08574	10	12	32	6	19	40	12	12	10
PH02Gene08575	0	0	4	10	1	1	5	2	0
PH02Gene08576	4	0	6	1	8	0	9	0	0
PH02Gene08577	0	0	0	13	2	0	8	0	0
PH02Gene08578	1	0	6	19	8	1	1	0	0
PH02Gene08579	9	0	4	14	8	4	9	6	0
PH02Gene08580	1	0	10	20	2	2	5	9	0
PH02Gene08581	2	0	3	2	4	1	8	0	0
PH02Gene08582	0	0	1	11	0	0	10	1	0
PH02Gene08583	0	1	1	1	1	0	8	2	0
PH02Gene08585	0	0	12	7	0	0	0	0	0
PH02Gene08586	2	0	2	1	4	1	6	2	0
PH02Gene08587	4	1	3	1	0	0	0	1	0
PH02Gene08588	0	0	0	2	2	2	4	0	0
PH02Gene08589	0	8	14	8	4	6	4	3	3
PH02Gene08590	0	0	0	0	0	0	0	0	0
PH02Gene08591	0	0	10	4	0	2	2	2	0
PH02Gene08592	1	0	7	4	5	6	11	3	1
PH02Gene08593	0	0	5	2	1	0	4	0	0
PH02Gene08594	10	2	7	18	30	5	15	12	0
PH02Gene08595	4	8	9	2	0	0	13	6	0
PH02Gene08596	4	1	1	2	2	0	1	1	0
PH02Gene08597	0	0	21	13	9	1	10	7	0
PH02Gene08598	0	0	1	4	0	0	6	2	4
PH02Gene08599	1	0	6	0	0	2	9	1	4
PH02Gene08600	0	2	13	5	9	2	0	6	8
PH02Gene08601	9	4	15	18	28	15	1	10	0
PH02Gene08602	4	0	8	0	0	2	6	1	0
PH02Gene08603	4	5	5	4	2	0	15	5	1
PH02Gene08604	0	0	1	0	0	0	4	0	0
PH02Gene08605	0	0	3	0	4	0	2	1	0
PH02Gene08606	15	2	25	19	24	18	11	12	12
PH02Gene08607	47	20	33	24	26	12	16	55	7
PH02Gene08608	11	0	9	20	14	14	30	25	0
PH02Gene08609	30	0	13	7	0	8	16	1	4
PH02Gene08610	3	7	18	0	12	12	7	13	15
PH02Gene08611	2	10	1	4	0	0	4	4	0
PH02Gene08612	4	0	5	2	9	4	10	8	0
PH02Gene08613	6	1	10	6	3	8	4	14	2
PH02Gene08614	11	0	0	12	6	0	0	0	2
PH02Gene08615	5	0	3	6	20	0	8	12	2
PH02Gene08616	16	0	8	12	10	8	18	4	0
PH02Gene08617	0	0	9	4	0	0	3	8	0
PH02Gene08618	2	2	10	0	4	0	2	4	2
PH02Gene08619	8	2	0	10	0	1	11	7	1
PH02Gene08620	1	0	0	0	0	0	1	0	0
PH02Gene08621	12	0	2	6	16	2	4	5	0
PH02Gene08622	0	0	0	0	0	0	0	0	0
PH02Gene08623	2	0	7	0	7	1	2	4	0
PH02Gene08624	0	0	0	1	0	1	5	0	0
PH02Gene08625	0	0	0	0	0	0	0	0	0
PH02Gene08626	19	6	30	16	8	18	12	14	4
PH02Gene08627	8	2	7	4	10	1	8	3	4
PH02Gene08628	0	0	1	0	3	0	4	2	0
PH02Gene08629	11	24	28	3	16	12	21	13	1
PH02Gene08630	71	33	30	27	43	31	54	52	31
PH02Gene08631	10	8	18	6	14	20	1	9	2
PH02Gene08632	9	9	18	11	18	2	18	19	7
PH02Gene08633	178	188	145	84	121	62	109	112	126
PH02Gene08634	18	25	48	17	26	20	18	37	41
PH02Gene08635	1	0	7	0	3	0	1	0	0
PH02Gene08636	2	0	10	0	0	5	1	0	0
PH02Gene08637	14	4	26	18	11	3	17	16	0
PH02Gene08638	53	7	53	13	36	14	60	40	24
PH02Gene08639	29	37	15	2	10	17	15	20	18
PH02Gene08640	65	54	76	25	47	28	45	88	54
PH02Gene08641	9	1	31	14	12	0	18	12	0
PH02Gene08642	0	0	4	0	0	0	0	0	0
PH02Gene08643	0	0	1	0	0	0	0	0	0
PH02Gene08644	0	0	0	0	0	0	0	0	0
PH02Gene08645	0	0	4	0	3	2	14	9	0
PH02Gene08646	1	35	2	1	3	13	4	2	7
PH02Gene08647	6	6	13	7	2	2	3	8	0
PH02Gene08648	0	0	9	0	0	0	1	2	8
PH02Gene08649	14	15	16	6	10	18	21	16	1
PH02Gene08650	0	0	3	0	0	1	4	0	0
PH02Gene08651	1	0	4	0	0	0	0	0	0
PH02Gene08652	0	0	0	0	0	0	0	0	0
PH02Gene08653	0	0	2	0	0	4	0	0	2
PH02Gene08654	0	0	0	0	0	0	0	0	0
PH02Gene08655	0	0	0	0	0	0	0	0	0
PH02Gene08656	0	0	0	0	0	0	0	0	0
PH02Gene08657	5	0	0	0	0	1	0	0	0
PH02Gene08658	0	0	0	0	0	0	0	0	0
PH02Gene08659	0	0	0	1	0	0	0	0	0
PH02Gene08660	1	0	2	8	0	1	4	0	0
PH02Gene08661	0	0	0	5	0	0	0	0	0
PH02Gene08662	0	0	0	0	0	0	0	0	0
PH02Gene08663	0	1	9	4	0	4	0	0	0
PH02Gene08664	5	1	2	5	0	0	8	2	0
PH02Gene08665	1	0	10	1	2	0	5	6	0
PH02Gene08666	0	2	0	1	0	0	0	1	0
PH02Gene08667	0	0	0	0	0	0	0	0	0
PH02Gene08668	1	0	0	0	5	0	3	4	0
PH02Gene08669	8	4	4	4	2	6	4	7	0
PH02Gene08670	8	0	18	3	0	0	10	5	0
PH02Gene08671	10	0	4	7	10	6	16	8	0
PH02Gene08672	31	56	19	22	12	42	12	4	18
PH02Gene08673	0	4	0	1	2	0	0	4	0
PH02Gene08674	0	0	0	2	1	0	0	0	0
PH02Gene08675	3	33	20	41	28	25	26	3	10
PH02Gene08676	6	0	16	13	19	6	8	5	2
PH02Gene08677	4	19	6	0	6	10	12	28	21
PH02Gene08678	4	4	7	17	9	1	3	0	0
PH02Gene08679	2	0	13	6	11	2	8	1	0
PH02Gene08680	4	2	0	0	8	0	3	13	0
PH02Gene08681	21	0	4	5	11	6	5	8	0
PH02Gene08682	0	0	0	2	0	0	0	1	0
PH02Gene08683	0	0	0	4	0	0	0	0	0
PH02Gene08684	11	1	15	12	6	9	24	9	0
PH02Gene08685	48	16	21	18	25	19	34	26	18
PH02Gene08686	16	5	2	27	15	9	27	20	0
PH02Gene08687	18	0	9	5	12	16	2	8	4
PH02Gene08688	66	2	1	51	0	6	71	0	0
PH02Gene08689	14	0	4	10	0	6	8	2	0
PH02Gene08690	4	1	5	10	3	0	6	8	0
PH02Gene08691	0	0	0	4	2	0	0	6	0
PH02Gene08692	1444	1426	1222	761	1016	972	1095	1092	1069
PH02Gene08693	45	59	41	27	60	55	34	53	58
PH02Gene08694	0	0	2	0	0	0	0	6	0
PH02Gene08695	5	1	2	14	23	1	8	7	4
PH02Gene08696	20	0	27	39	19	6	19	11	6
PH02Gene08697	1	2	4	2	9	0	7	1	5
PH02Gene08698	2	0	20	12	9	22	11	10	4
PH02Gene08699	5	0	2	4	0	4	1	2	4
PH02Gene08700	11	0	9	16	1	2	9	7	0
PH02Gene08701	1	0	5	6	10	2	2	0	0
PH02Gene08702	2	0	6	0	6	4	2	4	0
PH02Gene08703	16	4	0	15	6	0	14	11	4
PH02Gene08704	9	0	34	28	34	0	0	11	7
PH02Gene08705	13	0	7	1	30	0	0	5	4
PH02Gene08706	0	0	0	0	0	0	0	0	0
PH02Gene08707	0	0	0	1	0	0	0	0	0
PH02Gene08708	8	1	6	13	10	5	4	5	0
PH02Gene08709	0	0	0	0	0	0	0	0	0
PH02Gene08710	0	0	0	0	0	0	0	0	0
PH02Gene08711	0	0	0	0	0	0	0	0	0
PH02Gene08712	0	0	0	0	3	4	4	0	0
PH02Gene08713	0	4	4	10	12	2	4	4	0
PH02Gene08714	0	0	0	0	0	0	0	0	0
PH02Gene08715	0	0	0	0	0	0	0	0	0
PH02Gene08716	6	0	13	0	2	0	1	2	0
PH02Gene08717	2	2	17	16	12	10	13	14	1
PH02Gene08718	11	9	11	10	12	11	6	18	5
PH02Gene08719	29	1	42	19	17	6	24	18	5
PH02Gene08720	3	6	54	17	20	2	14	34	0
PH02Gene08721	4	2	6	8	23	1	0	14	0
PH02Gene08722	0	8	10	4	4	4	9	1	0
PH02Gene08723	4	0	0	0	0	1	0	0	0
PH02Gene08724	2	0	3	6	3	0	2	7	0
PH02Gene08725	1	6	1	2	0	4	6	0	0
PH02Gene08726	4	0	2	4	2	0	10	6	2
PH02Gene08727	3	0	16	8	5	6	2	12	0
PH02Gene08728	6	0	3	21	12	8	21	14	26
PH02Gene08729	45	127	62	4	49	68	20	66	63
PH02Gene08730	15	0	6	2	6	0	6	6	10
PH02Gene08731	0	0	2	0	2	0	0	3	2
PH02Gene08732	3	0	0	0	16	3	1	2	8
PH02Gene08733	904	2760	2517	911	2588	2063	3049	2731	4254
PH02Gene08734	0	0	12	0	0	3	5	0	2
PH02Gene08735	2	0	5	14	4	0	7	1	0
PH02Gene08736	0	0	0	0	8	1	0	0	0
PH02Gene08737	2	0	0	0	0	0	0	1	0
PH02Gene08738	27	4	26	10	11	14	25	6	5
PH02Gene08739	8	32	8	20	16	34	10	28	46
PH02Gene08740	82	60	73	55	92	41	55	78	45
PH02Gene08741	15	5	7	18	11	2	22	10	0
PH02Gene08742	1	0	2	2	1	1	5	3	0
PH02Gene08743	6	0	4	0	0	0	0	0	0
PH02Gene08744	0	0	4	6	0	0	0	4	1
PH02Gene08745	1	0	9	2	5	0	5	6	0
PH02Gene08746	4	4	0	1	0	0	10	10	0
PH02Gene08747	5	0	6	1	6	8	16	6	0
PH02Gene08748	0	0	8	6	2	0	0	0	0
PH02Gene08749	0	0	0	0	0	0	6	0	0
PH02Gene08750	14	54	8	6	0	28	17	7	6
PH02Gene08751	4	0	10	4	7	6	12	4	4
PH02Gene08752	0	0	4	1	0	0	0	4	0
PH02Gene08753	4	10	12	23	3	6	10	8	0
PH02Gene08754	2	0	22	2	5	1	2	5	0
PH02Gene08755	0	0	0	0	0	0	1	0	0
PH02Gene08756	1	6	5	9	6	8	1	0	0
PH02Gene08757	57	22	64	66	43	44	48	45	41
PH02Gene08758	4	0	3	0	8	0	16	2	0
PH02Gene08759	1	20	4	12	4	18	8	6	8
PH02Gene08760	6	0	14	19	2	11	11	19	0
PH02Gene08761	49	3	40	39	20	2	43	13	2
PH02Gene08762	0	6	0	2	0	2	1	0	8
PH02Gene08763	0	0	0	4	2	0	1	2	0
PH02Gene08764	1	4	0	7	0	0	0	1	0
PH02Gene08765	0	2	6	10	4	2	2	2	0
PH02Gene08766	2	0	2	0	6	0	0	1	0
PH02Gene08767	0	1	0	3	5	4	5	5	1
PH02Gene08768	0	4	7	4	8	10	8	6	2
PH02Gene08769	0	0	0	2	1	0	2	1	0
PH02Gene08770	0	0	4	0	0	0	2	0	4
PH02Gene08771	9	0	15	15	2	8	11	2	0
PH02Gene08772	1	0	1	11	4	1	9	0	0
PH02Gene08773	1	0	1	4	0	0	11	9	0
PH02Gene08774	0	2	4	6	0	4	6	10	0
PH02Gene08775	21	2	0	2	3	0	4	6	0
PH02Gene08776	18	1	5	20	11	0	9	0	0
PH02Gene08777	0	0	2	16	3	0	1	0	0
PH02Gene08778	5	0	7	1	0	1	1	5	0
PH02Gene08779	0	0	0	7	1	2	0	2	0
PH02Gene08780	5	0	11	9	4	2	0	14	0
PH02Gene08781	2	6	6	0	1	0	3	6	0
PH02Gene08782	29	2	23	10	9	0	8	5	0
PH02Gene08783	1	1	1	0	0	0	0	5	0
PH02Gene08784	3	0	16	6	0	0	12	2	0
PH02Gene08785	2	0	0	1	9	4	4	6	5
PH02Gene08786	0	0	2	2	3	0	0	0	4
PH02Gene08787	6	2	10	5	10	2	5	2	0
PH02Gene08788	4	0	0	2	1	0	0	4	0
PH02Gene08789	17	20	17	16	20	25	34	23	16
PH02Gene08790	8	5	13	8	8	9	6	4	7
PH02Gene08791	1	10	9	8	8	1	6	8	12
PH02Gene08792	0	0	0	0	0	0	0	0	0
PH02Gene08793	8	1	1	5	2	0	6	6	1
PH02Gene08794	98	181	280	50	164	145	84	215	287
PH02Gene08795	0	0	4	0	2	5	4	4	0
PH02Gene08796	10	1	7	3	3	4	9	7	0
PH02Gene08797	2	1	0	0	1	0	0	0	0
